,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
15,107/09/25,29001268,462378744,15.95,16.0,15.8,16.0,0.0,4614
14,107/09/21,50064057,790898254,15.5,16.0,15.5,16.0,0.5,7834
13,107/09/20,21512445,333303134,15.45,15.6,15.45,15.5,0.0,3056
12,107/09/19,44516803,686642203,15.2,15.6,15.2,15.5,0.3,5912
11,107/09/18,18023027,274532849,15.2,15.3,15.15,15.2,-0.05,2056
10,107/09/17,13656668,207692512,15.2,15.25,15.15,15.25,0.1,1571
9,107/09/14,17277639,263236839,15.25,15.3,15.15,15.15,-0.05,3281
8,107/09/13,13805200,209291957,15.3,15.3,15.1,15.2,0.0,2618
7,107/09/12,19717453,298915910,15.1,15.3,15.05,15.2,-0.05,2633
6,107/09/11,21654554,328191891,15.05,15.25,15.0,15.25,0.3,4061
5,107/09/10,13516644,202793610,15.1,15.15,14.95,14.95,-0.1,3133
4,107/09/07,12675553,190107040,14.95,15.1,14.95,15.05,0.0,2313
3,107/09/06,15708121,235255925,14.95,15.05,14.9,15.05,0.0,2509
2,107/09/05,22175292,336020324,15.3,15.35,15.05,15.05,-0.35,4630
1,107/09/04,11299753,173559510,15.3,15.4,15.3,15.4,0.15,3937
0,107/09/03,12913699,198160720,15.45,15.5,15.25,15.25,-0.3,4125
22,107/08/31,28357547,438516852,15.4,15.55,15.3,15.55,0.05,3119
21,107/08/30,23837173,369262573,15.6,15.6,15.4,15.5,-0.1,3450
20,107/08/29,14887323,231550896,15.55,15.6,15.5,15.6,0.0,3902
19,107/08/28,16298516,252842165,15.5,15.6,15.45,15.6,0.1,4784
18,107/08/27,11368611,175687517,15.5,15.5,15.4,15.5,0.0,2401
17,107/08/24,20665157,318527839,15.45,15.5,15.3,15.5,0.0,3079
16,107/08/23,24337052,376523405,15.55,15.65,15.3,15.5,0.0,4488
15,107/08/22,26456526,407849144,15.35,15.5,15.25,15.5,0.25,7040
14,107/08/21,24779339,378088568,15.2,15.35,15.1,15.25,0.05,5029
13,107/08/20,31067053,469295177,15.2,15.25,15.0,15.2,-0.05,7080
12,107/08/17,58270556,893333572,15.2,15.55,15.15,15.25,0.15,7921
11,107/08/16,43649492,658676751,15.05,15.2,15.0,15.1,-0.1,6346
10,107/08/15,33654557,508655558,15.2,15.2,15.05,15.2,0.0,7110
9,107/08/14,40107106,604637557,15.0,15.25,14.9,15.2,0.3,6303
8,107/08/13,33222890,499163906,15.3,15.3,14.9,14.9,-0.5,7308
7,107/08/10,46633293,718277346,15.25,15.55,15.15,15.4,-0.05,9643
6,107/08/09,111464900,1710234445,15.25,15.65,14.85,15.45,0.3,12441
5,107/08/08,96753583,1457334472,14.65,15.25,14.6,15.15,0.6,13720
4,107/08/07,43898660,635722357,14.4,14.65,14.35,14.55,0.2,7650
3,107/08/06,40037128,572637906,14.1,14.4,14.1,14.35,0.25,7483
2,107/08/03,44801153,629477226,13.9,14.15,13.85,14.1,0.3,6519
1,107/08/02,18254700,254098795,14.0,14.05,13.8,13.8,-0.25,2344
0,107/08/01,26160671,366326808,14.1,14.1,13.95,14.05,-0.05,3400
21,107/07/31,55149441,770864924,13.7,14.1,13.7,14.1,+0.40,6596
20,107/07/30,12736890,174487390,13.7,13.75,13.65,13.7,0.00,1795
19,107/07/27,13455651,184351292,13.7,13.75,13.65,13.7,-0.05,2508
